HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Female_maturity_(days),Male_maturity_(days),Gestation/Incubation_(days),Weaning_(days),Litter/Clutch_size,Litters/Clutches_per_year,Inter-litter/Interbirth_interval,Birth_weight_(g),Weaning_weight_(g),Adult_weight_(g),Growth_rate_(1/days),Maximum_longevity_(yrs),Source,Specimen_origin,Sample_size,Data_quality,IMR_(per_yr),MRDT_(yrs),Metabolic_rate_(W),Body_mass_(g),Temperature_(K),References
01081,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,melanopis,Black-faced_ibis,,,,,,,,,,,,34.5,649,captivity,medium,acceptable,,,,,,649
01082,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,aethiopicus,Sacred_ibis,,,,,,,,,,1530,,37,649,captivity,large,acceptable,,,,,,"61,649"
01083,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,melanocephalus,Black-headed_ibis,,,,,,,,,,,,28.2,649,captivity,medium,acceptable,,,,,,649
01084,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,molucca,Australian_ibis,,,,,,,,,,1806,,33.2,649,captivity,small,acceptable,,,,,,"649,820"
01085,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,spinicollis,Straw-necked_ibis,,,,,,,,,,1351.5,,39.4,649,captivity,medium,acceptable,,,,,,"649,820"
01086,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,aethereus,Red-billed_tropicbird,,,44,,1,,,,,750,,17.6,427,wild,medium,acceptable,,,,,,"427,444,820"
01087,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,rubricauda,Red-tailed_tropicbird,274,274,45,,1,1,,54,,593.2,,32.7,427,wild,small,acceptable,,,,,,"427,444,445"
01088,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoeniconaias,minor,Lesser_flamingo,,,,,,,,,,1500,,41,991,wild,medium,acceptable,,,,,,"820,991"
01089,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,chilensis,Chilean_flamingo,,,,,,,,,,2277,,36.7,600,captivity,large,acceptable,,,,,,"600,820"
01090,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,roseus,Greater_flamingo,1825,1825,30,,1,,,,,2500,,44,1,captivity,large,acceptable,,,,,,"1,61,438,729"
01091,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,ruber,American_flamingo,,,,,,,,,,3065.8,,,,unknown,medium,low,,,,,,"427,820,1143"
01092,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,auratus,Northern_flicker,365,365,11,,4,1,,5.48,,120,,12.5,579,wild,small,acceptable,,,,,,"444,445,579"
01093,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,leucotos,White-backed_woodpecker,,,,,,,,,,117,0.323,15.9,450,wild,medium,acceptable,,,,,,"450,732,820"
01094,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,major,Great_spotted_woodpecker,365,365,,,,,,,,75.1,0.402,12.7,450,wild,medium,acceptable,,,,,,"450,729,732,820"
01095,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,medius,Middle_spotted_woodpecker,365,365,,,,,,,,59,,8,729,wild,medium,acceptable,,,,,,"729,820"
01096,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,minor,Lesser_spotted_woodpecker,365,365,,,,,,,,19.8,,9.8,450,wild,medium,acceptable,,,,,,"450,729,820"
01097,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,syriacus,Syrian_woodpecker,,,,,,,,,,76.8,,10.9,0450,wild,medium,acceptable,,,,,,"450,820"
01098,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,martius,Black_woodpecker,365,365,,,,,,,,321,0.308,14,450,wild,medium,acceptable,,,,,,"450,729,732,820"
01099,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,pileatus,Pileated_woodpecker,354,365,18,,4,1,,,,364,0.276,13,427,wild,tiny,acceptable,,,,,,"427,444,445,732"
01100,Animalia,Chordata,Aves,Piciformes,Picidae,Jynx,torquilla,Eurasian_wryneck,365,365,,,,,,,,35,0.373,10,729,wild,medium,acceptable,,,,,,"729,732,820"
01101,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,aurifrons,Golden-fronted_woodpecker,365,365,13,,4.5,2,,,,81.63,,,,unknown,small,low,,,,,,"444,445,579"
01102,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,carolinus,Red-bellied_woodpecker,365,365,12,,4,2,,8,,72.5,,20.7,,unknown,medium,acceptable,,,,,,"444,445"
01103,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,erythrocephalus,Red-headed_woodpecker,365,365,14,,5,2,,,,75,,10,,unknown,medium,acceptable,,,,,,"444,445"
01104,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,formicivorus,Acorn_woodpecker,694,766,14,,4,2,,4.7,,79.7,,17.2,427,wild,medium,acceptable,,,0.737,73,,"427,435,444,445,820"
01105,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,uropygialis,Gila_woodpecker,,,14,,4,2,,,,65,,11,427,wild,medium,acceptable,,,,,,"427,444,445"
01106,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,borealis,Red-cockaded_woodpecker,240,240,11,,3,1,,3.2,,56,,16.1,427,wild,medium,acceptable,,,,,,"427,437,444,445"
01107,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,nuttallii,Nuttall's_woodpecker,,,,,,,,,,37.4,,7.8,0427,wild,medium,acceptable,,,,,,"427,820"
01108,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,pubescens,Downy_woodpecker,365,365,12,,5,1,,1.67,,25.6,,11.9,427,wild,medium,acceptable,,,0.383,21.7,,"427,435,444,445,820"
01109,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,scalaris,Ladder-backed_woodpecker,365,365,13,,4,1,,,,30.3,,,,unknown,small,low,,,,,,"444,445,579"
01110,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,tridactylus,Eurasian_three-toed_woodpecker_and_three-toed_woodpecker,,,,,,,,,,65.7,,11.2,450,wild,medium,acceptable,,,,,,"450,820"
01111,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,villosus,Hairy_woodpecker,365,365,14,,4,1,,,,62,,15.9,427,wild,medium,acceptable,,,,,,"427,444,445"
01112,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,canus,Grey-faced_woodpecker_and_grey-headed_woodpecker,,,,,,,,,,137,0.364,,,unknown,small,low,,,,,,"450,732,820"
01113,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,viridis,Eurasian_green_woodpecker,365,365,,,,,,,,176,,15.2,450,wild,medium,acceptable,,,,,,"450,729,820"
01114,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,nuchalis,Red-naped_sapsucker,,,,,,,,,,48.5,,4.9,0427,wild,medium,acceptable,,,,,,"427,820"
01115,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,ruber,Red-breasted_sapsucker,,,,,,,,,,55,,4.8,0427,wild,medium,acceptable,,,,,,"427,820"
01116,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,varius,Yellow-bellied_sapsucker,365,365,12,,5,1,,2.5,,45,,7.8,427,wild,medium,acceptable,,,,,,"427,444,445"
01117,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Ramphastos,toco,Toco_toucan,,,16,,,,,,,540,,16.2,986,captivity,medium,acceptable,,,,,,986
01118,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,Western_grebe,365,365,23,,3,,,30.7,,1475.5,,14,1,wild,small,acceptable,,,,,,"1,444,445,977"
01119,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,auritus,Horned_grebe,365,365,24,,6,1,,17,,485,,,,unknown,small,low,,,,,,"444,445,450,972"
01120,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,cristatus,Great_crested_grebe,730,730,,,,,,,,738.7,,19.2,450,wild,medium,acceptable,,,,,,"450,729,820"
01121,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,grisegena,Red-necked_grebe,365,365,22,,4.5,1,,,,1100,,11,427,wild,small,questionable,,,,,,"427,444,445"
01122,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,nigricollis,Eared_grebe,730,730,21,,3,,,,,392,,13.1,450,wild,small,acceptable,,,,,,"444,445,450"
01123,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Pied-billed_grebe,365,365,23,,6.23,,,14.9,,430,,,,unknown,tiny,low,,,,,,445
01124,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Tachybaptus,ruficollis,Little_grebe,365,365,,,,,,,,174,,17.5,450,wild,medium,acceptable,,,,,,"450,729,820"
01125,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,epomophora,Royal_albatross,,,,,,,,,,9000,0.026,58,1,wild,medium,acceptable,,,,,,"1,436,732,820,952"
01126,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,exulans,Wandering_albatross,,,,,,,,,,7046.7,0.031,50,952,wild,medium,acceptable,,,20.3649,8130,,"435,732,820,952,1143,1160"
01127,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,albatrus,Short-tailed_albatross,,,,,,,,,,4411,,,,unknown,small,low,,,,,,"427,820"
01128,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,immutabilis,Laysan_albatross,3141,3068,64,,1,1,,167.2,,3150,,65,718,wild,large,acceptable,,,7.462,2522,,"435,445,718,820"
01129,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,irrorata,Waved_albatross,,,,,,,,,,3395,,40,1,wild,medium,acceptable,,,,,,"1,820"
01130,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,nigripes,Black-footed_albatross,1825,1825,65,,1,1,,182.5,,2800,,42.1,427,wild,large,acceptable,,,,,,"427,445,977"
01131,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,chlororhynchos,Yellow-nosed_albatross,,,,,,,,,,3890,0.081,37,1,wild,medium,acceptable,,,,,,"1,732,972"
01132,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,chrysostoma,Grey-headed_albatross,,,,,,,,,,3753,0.068,47.2,427,wild,medium,acceptable,,,8.5312,3753,,"427,435,732,1143"
01133,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,melanophris,Black-browed_albatross,,,,,,,,,,3232,0.068,43.7,427,wild,medium,acceptable,,,,,,"427,732,820,1124"
01134,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,pelagicus,European_storm_petrel,1095,1095,35,,1,,,,,25.2,,33.8,553,wild,medium,acceptable,,,,,,"444,553,729,820"
01135,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,castro,Harcourt's_storm_petrel,1826,1826,42,,1,1,,7.5,,42,0.117,36,972,wild,medium,acceptable,,,,,,"444,445,732,972"
01136,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,furcata,Fork-tailed_storm_petrel,1095,1095,52,,1,1,,,,45.2,0.119,18,427,wild,small,questionable,,,,,,"427,444,445,732"
01137,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,homochroa,Ashy_storm-petrel,,,,,,,,,,36.9,,31,977,wild,small,acceptable,,,,,,"820,977"
01138,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,leucorhoa,Leach's_storm_petrel,1826,1826,41,,1,1,,4.2,,44.6,0.092,36,1,wild,medium,acceptable,,,,,,"1,432,444,445,732,751,779,1143"
01139,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,tristrami,Sooty_storm_petrel,1825,1825,45,,,,,,,87,,,,unknown,small,low,,,,,,"445,576,977"
01140,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Bulweria,bulwerii,Bulwer's_petrel,1461,1461,44,,1,1,,16.9,,99,,22.9,818,wild,small,acceptable,,,0.513975,87,,"425,445,818,820"
01141,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,diomedea,Cory's_shearwater,1095,1095,,,,,,,,535,,24.8,450,wild,medium,acceptable,,,,,,"450,729,820"
01142,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Daption,capense,Cape_petrel,,,,,,,,,,408.6,0.17,25,427,wild,medium,acceptable,,,,,,"427,444,732"
01143,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,glacialis,Northern_fulmar,2200,2200,55,,1,1,,65,,908,0.121,51,"Paul_Thompson,_pers._comm.",wild,medium,acceptable,,,,,,"2,23,444,445,732,1143"
01144,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,glacialoides,Southern_fulmar,,,,,,,,,,795,,45,919,wild,medium,acceptable,,,,,,"820,919,1150"
01145,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,giganteus,Southern_giant_petrel,,,,,,,,,,3697.5,,47,1157,wild,small,acceptable,,,,,,"427,820,1157"
01146,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pagodroma,nivea,Snow_petrel,,,,,,,,,,268,0.183,46,919,wild,medium,acceptable,,,,,,"732,820,919,1143"
01147,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,parkinsoni,Black_petrel,,,,,,,,,,702.5,,17,1,wild,medium,acceptable,,,,,,"1,820"
01148,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,alba,Phoenix_petrel,,,,,,,,,,259,,11.3,576,wild,medium,acceptable,,,,,,"576,820"
01149,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,hypoleuca,Bonin_Island_petrel,,,49,,1,1,,7.7,,168.6,0.091,30.8,427,wild,medium,acceptable,,,,,,"427,445,732"
01150,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,leucoptera,Gould's_petrel,,,,,,,,,,147.5,,20,1,wild,medium,acceptable,,,,,,"1,820"
01151,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,phaeopygia,Darked-rump_petrel,,,55,,1,1,,,,425,0.082,,,unknown,small,low,,,,,,"445,576,732"
01152,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,sandwichensis,Hawaiian_petrel,,,,,,,,,,434,,13.1,0427,wild,medium,acceptable,,,,,,"427,820"
01153,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,carneipes,Flesh-footed_shearwater,,,,,,,,,,690,,30.2,972,wild,medium,acceptable,,,,,,972
01154,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,griseus,Sooty_shearwater,,,,,,,,,,740,,34,952,unknown,medium,acceptable,,,,,,952
01155,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,lherminieri,Audobon's_shearwater,,,51,,1,,,,,130,,,,unknown,small,low,,,,,,"1,444"
01156,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,mauretanicus,Balearic_shearwater,,,,,,,,,,497,,,,unknown,small,low,,,,,,"450,820"
01157,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,nativitatis,Christmas_Island_shearwater,1461,1461,51,,1,1,,36.7,,356,,,,unknown,small,low,,,1.48808,307.6,,"425,427,445,576,820"
01158,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,pacificus,Wedge-tailed_shearwater,1461,1461,53,,1,1,,39,,337.8,0.069,29,427,wild,medium,acceptable,,,,,,"427,445,732"
01159,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,puffinus,Manx_shearwater,1825,1643,51,,1,1,,45,,434,,50.9,450,wild,medium,acceptable,,,,,,"444,445,450,729"
01160,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,tenuirostris,Short-tailed_shearwater,,,53,,1,,,,,499.4,,39.9,972,wild,medium,acceptable,,,,,,"444,972,1143"
01162,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,fischeri,Fischer's_lovebird,,,,,,,,,,48.3,,12.6,669,captivity,large,questionable,,,,,,"600,669,820,979"
01163,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,lilianae,Nyasa_loverbird,,,,,,,,,,37.3,,19.2,669,captivity,medium,acceptable,,,,,,"669,820"
01164,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,pullarius,Red-headed_lovebird,,,,,,,,,,43,,18,575,captivity,small,acceptable,,,,,,"575,669"
01165,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,roseicollis,Rosy-faced_lovebird,150,150,23,,5,,,,,54.8,,,,unknown,medium,low,,,,,,"979,988,989"
01166,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,taranta,Black-winged_lovebird,,,,,,,,,,57.5,,14.6,669,captivity,tiny,acceptable,,,,,,"669,820,979"
01167,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Alisterus,scapularis,Australian_king_parrot,,,,,,,,,,232.5,,26.6,669,captivity,medium,acceptable,,,,,,"669,820,979"
01168,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,aestiva,Blue-fronted_amazon,,,,,,,,,,451,0.181,49,669,captivity,large,acceptable,,,,,,"669,732,820"
01169,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,albifrons,White-fronted_parrot,,,,,,,,,,215,,25.3,669,captivity,medium,acceptable,,,,,,669
01170,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,amazonica,Orange-winged_amazon,,,,,,,,,,370,,30,575,captivity,medium,acceptable,,,,,,"575,669,820"
01171,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,auropalliata,Yellow-naped_parrot,,,,,,,,,,,,49,575,captivity,medium,acceptable,,,,,,"575,979"
01172,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,autumnalis,Red-lored_parrot,,,,,,,,,,416,,27,669,captivity,medium,acceptable,,,,,,"669,820"
01173,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,barbadensis,Yellow-shouldered_amazon,,,,,,,,,,270,,,,unknown,medium,low,,,,,,"820,979"
01174,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,farinosa,Mealy_parrot,,,,,,,,,,626,,,,unknown,medium,low,,,,,,"820,979"
01175,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,festiva,Festive_amazon,,,,,,,,,,430,,24.5,669,captivity,medium,acceptable,,,,,,"669,820"
01176,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,finschi,Lilac-crowned_parrot,,,,,,,,,,302,0.186,25.8,669,captivity,medium,acceptable,,,,,,"669,732,820"
01177,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,guildingii,St._Vincent_parrot,,,,,,,,,,646,,28,669,captivity,small,acceptable,,,,,,"669,820"
01178,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,leucocephala,Cuban_parrot,,,,,,,,,,235.5,,,,unknown,medium,low,,,,,,"820,979"
01179,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,ochrocephala,Yellow-crowned_parrot,,,,,,,,,,430,0.158,56,669,captivity,medium,acceptable,,,,,,"669,732"
01180,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,oratrix,Yellow-headed_parrot,,,,,,,,,,517,,,,unknown,medium,low,,,,,,"820,979"
01181,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,rhodocorytha,Red-browed_parrot,,,,,,,,,,,,44,669,captivity,medium,acceptable,,,,,,669
01182,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,versicolor,St._Lucia_amazon,,,,,,,,,,676,,,,unknown,medium,low,,,,,,"820,979"
01183,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,viridigenalis,Red-crowned_parrot,,,,,,,,,,316,,,,unknown,medium,low,,,,,,"820,979"
01184,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,vittata,Puerto_Rican_amazon,,,,,,,,,,,,,,unknown,small,low,,,,,,"669,979"
01185,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,glaucus,Glaucous_macaw,,,,,,,,,,,,,,unknown,small,low,,,,,,669
01186,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,hyacinthinus,Hyacinth_macaw,,,,,,,,,,1330,,38.8,669,captivity,tiny,acceptable,,,,,,"669,979"
01187,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,leari,Lear's_macaw,,,,,,,,,,940,,38.3,669,captivity,small,acceptable,,,,,,"669,820"
01188,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aprosmictus,erythropterus,Red-winged_parrot,,,,,,,,,,136,,24.4,669,captivity,medium,acceptable,,,,,,"669,820,979"
01189,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ambiguus,Great_green_macaw,,,,,,,,,,1300,0.119,29,669,captivity,small,acceptable,,,,,,"669,732,820"
01190,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ararauna,Blue-and-yellow_macaw,,,,,,,,,,1030,0.126,43,575,captivity,large,acceptable,,,,,,"575,669,732,979"
01191,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,chloropterus,Red-and-green_macaw,,,28,,2.5,,,,,1220,0.112,50.1,669,captivity,small,acceptable,,,,,,"669,732,979"
01192,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,glaucogularis,Blue-throated_macaw,,,,,,,,,,784,,22,669,captivity,medium,acceptable,,,,,,"669,820,979"
01193,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,macao,Scarlet_macaw,,,,,,,,,,1040,0.12,33,669,captivity,large,acceptable,,,,,,"575,669,732,979,986"
01194,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Military_macaw,,,,,,,,,,1134,0.12,46,669,captivity,large,acceptable,,,,,,"669,732,820,979"
01195,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,rubrogenys,Red-fronted_macaw,,,,,,,,,,470,0.13,23,669,captivity,medium,acceptable,,,,,,"669,732,979"
01196,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,severus,Chestnut-fronted_macaw,,,,,,,,,,343,,28.5,669,captivity,small,acceptable,,,,,,"669,820"
01197,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,acuticaudata,Blue-crowned_parakeet,,,,,,,,,,171,,31,669,captivity,medium,acceptable,,,,,,"669,820"
01198,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,auricapillus,Golden-capped_parakeet,,,,,,,,,,130,,20.9,669,captivity,small,acceptable,,,,,,"669,820"
01199,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,canicularis,Orange-fronted_parakeet,,,,,,,,,,85,,16.2,669,captivity,small,acceptable,,,,,,"669,820,979"
01200,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,chloroptera,Hispaniolan_parakeet,,,,,,,,,,146,,,,unknown,medium,low,,,,,,"820,979"
01201,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,erythrogenys,Red-masked_parakeet,,,,,,,,,,151,,26.2,669,captivity,small,acceptable,,,,,,"669,820"
01202,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,holochlora,Green_parakeet,,,,,,,,,,138,,21.8,669,captivity,medium,acceptable,,,,,,"669,820"
01203,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Barnardius,zonarius,Port_Lincoln_ringneck,,,,,,,,,,150,,17.9,669,captivity,small,acceptable,,,0.718,137,,"435,669,979"
01204,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Bolborhynchus,orbygnesius,Andean_parakeet,,,,,,,,,,43.1,,9.2,669,captivity,small,acceptable,,,,,,"669,820"
01205,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,chiriri,Yellow-chevroned_parakeet,,,26,,5,,,,,61.6,,19,669,captivity,small,acceptable,,,,,,"445,669"
01206,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,pyrrhoptera,Grey-cheeked_parakeet,,,,,,,,,,64,,11.3,669,captivity,small,acceptable,,,,,,"669,820"
01207,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,sanctithomae,Tui_parakeet,,,,,,,,,,59,,13.2,669,captivity,small,acceptable,,,,,,"669,820"
01208,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,tirica,Plain_parakeet,,,,,,,,,,63,,11,669,captivity,small,acceptable,,,,,,669
01209,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,versicolurus,Canary-winged_parakeet,730,730,25,,5,1,,,,71.6,,10.3,669,captivity,small,acceptable,,,,,,"445,669,979"
01210,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,alba,White_cockatoo,2000,2000,30,,2,,,,,570,0.13,26.9,669,captivity,medium,acceptable,,,,,,"669,670,732"
01211,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,ducorpsii,Ducorps's_cockatoo,,,,,,,,,,394,,30.5,669,captivity,small,acceptable,,,,,,"669,820,979"
01212,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,galerita,Sulphur-crested_cockatoo,,,27,,2,,,,,800,,57,669,captivity,large,acceptable,,,3.419,776.1,,"435,491,669,979"
01213,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,goffiniana,Tanimbar_cockatoo,,,,,,,,,,275,,26,website_feedback,captivity,small,questionable,,,,,,"669,820"
01214,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,haematuropygia,Philippine_cockatoo,,,,,,,,,,288,0.13,17.3,669,captivity,medium,questionable,,,,,,"669,732,820,979"
01215,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,leadbeateri,Pink_cockatoo,,,,,,,,,,390,,83,852,captivity,medium,acceptable,,,,,,"669,852,979"
01216,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,moluccensis,Salmon-crested_cockatoo,,,,,,,,,,830,,65.8,669,captivity,large,acceptable,,,,,,"491,669,979"
01217,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,ophthalmica,Blue-eyed_cockatoo,,,,,,,,,,492,,31.9,669,captivity,medium,acceptable,,,,,,"669,820,979"
01218,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,pastinator,Western_corella,,,,,,,,,,637,,26.3,669,captivity,small,acceptable,,,,,,"669,820"
01219,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,sanguinea,Little_corella,,,,,,,,,,350,0.165,46.9,669,captivity,medium,acceptable,,,,,,"669,732,979"
01220,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,sulphurea,Yellow-crested_cockatoo,,,,,,,,,,340,0.138,49.7,669,captivity,medium,acceptable,,,,,,"491,669,732,979"
