Species,Country_of_Origin,Number_of_Bags,Bag_Weight,Harvest_Year,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,BitterSweetness,Mouthfeel_Body,Uniform_Cup,Clean_cup,Blance,Cupper_Points,Total_Cup_Points,Moisture,Category_one_Defects,Quakers,Color,Category_Two_Defects
Arabica,"Tanzania, United Republic Of",100,60,2012.0,Natural / Dry,8.42,8.17,8.17,8.0,10.0,7.58,10.0,10.0,8.0,8.17,86.5,0.11,0,0.0,Bluish-Green,1
Arabica,Brazil,29,60,2011.0,Natural / Dry,8.5,8.17,8.0,7.75,10.0,8.0,10.0,10.0,8.0,8.0,86.42,0.12,0,0.0,Green,2
Arabica,Costa Rica,250,1,2015.0,Washed / Wet,8.17,7.83,8.0,8.08,10.0,7.83,10.0,10.0,8.0,8.42,86.33,0.0,0,0.0,Blue-Green,0
Arabica,Ethiopia,320,60,2014.0,Natural / Dry,8.0,8.08,7.92,8.0,10.0,8.08,10.0,10.0,8.08,8.08,86.25,0.1,0,0.0,Green,3
Arabica,Kenya,320,1,2013.0,Washed / Wet,8.08,8.0,8.0,8.25,10.0,7.92,10.0,10.0,7.92,8.08,86.25,0.12,0,0.0,Blue-Green,1
Arabica,United States (Hawaii),10,50,2012.0,Natural / Dry,8.08,8.17,8.0,7.92,10.0,7.92,10.0,10.0,7.83,8.33,86.25,0.0,1,0.0,,4
Arabica,United States (Hawaii),25,50,2010.0,,8.25,8.42,8.08,7.75,10.0,7.67,10.0,10.0,7.83,8.25,86.25,0.0,2,0.0,,1
Arabica,Ethiopia,300,6,2009.0,,7.92,7.75,8.08,8.08,10.0,8.08,10.0,10.0,8.17,8.17,86.25,0.1,0,0.0,,2
Arabica,United States,10,1,2014.0,Washed / Wet,7.67,8.17,8.0,8.0,10.0,8.17,10.0,10.0,8.08,8.08,86.17,0.0,0,0.0,,0
Arabica,Thailand,53,1,2012.0,Washed / Wet,7.83,8.33,7.83,8.25,10.0,7.58,10.0,10.0,7.92,8.42,86.17,0.1,1,0.0,Green,9
Arabica,Brazil,300,60,2010.0,,8.17,7.92,7.92,7.75,10.0,8.33,10.0,10.0,8.0,8.08,86.17,0.08,0,0.0,,2
Arabica,Brazil,300,60,2010.0,,8.42,7.92,8.0,7.75,10.0,7.92,10.0,10.0,8.0,8.17,86.17,0.01,0,0.0,,3
Arabica,Taiwan,10,15,2015.0,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,10.0,7.75,10.0,10.0,7.83,8.42,86.08,0.12,0,0.0,Green,0
Arabica,Kenya,12,60,2014.0,Natural / Dry,8.08,8.08,8.0,8.0,10.0,7.83,10.0,10.0,8.08,8.0,86.08,0.11,0,0.0,Bluish-Green,2
Arabica,Brazil,7,60,2011.0,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,10.0,7.75,10.0,10.0,8.0,8.0,86.08,0.11,0,0.0,Blue-Green,2
Arabica,Uganda,1,60,2014.0,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,10.0,8.08,10.0,10.0,7.92,8.08,86.0,0.0,0,0.0,,0
Arabica,Colombia,1,2,2013.0,Washed / Wet,7.75,7.92,7.83,8.08,10.0,8.08,10.0,10.0,8.17,8.17,86.0,0.12,1,0.0,Green,1
Arabica,Kenya,1,1,2013.0,Washed / Wet,7.92,8.17,7.83,8.5,10.0,7.5,10.0,10.0,7.92,8.17,86.0,0.11,0,0.0,Green,1
